### params -i128 -r256 -u100 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lb-ll_lazy    ./bin/lpdxeon2680/lb-ll_gl      ./bin/lpdxeon2680/lb-ll_optik_gl./bin/lpdxeon2680/lb-ll_optik   ./bin/lpdxeon2680/lb-ll_optik_cache
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       7074223     100.00  1           4603772     100.00  1           7247980     100.00  1           5674254     100.00  1           7600221     100.00  1           
2       6844790     48.38   0.97        1659415     18.02   0.36        5958468     41.10   0.82        4646607     40.94   0.82        5243794     34.50   0.69        
4       7719674     27.28   1.09        1083763     5.89    0.24        3529736     12.17   0.49        7641706     33.67   1.35        8857801     29.14   1.17        
6       9533372     22.46   1.35        951032      3.44    0.21        3196871     7.35    0.44        9613219     28.24   1.69        11502632    25.22   1.51        
8       11133356    19.67   1.57        954458      2.59    0.21        3062470     5.28    0.42        11339288    24.98   2.00        13505547    22.21   1.78        
10      12444947    17.59   1.76        972187      2.11    0.21        2990813     4.13    0.41        12856718    22.66   2.27        15281478    20.11   2.01        
12      13007440    15.32   1.84        1013487     1.83    0.22        2858693     3.29    0.39        14053649    20.64   2.48        16377912    17.96   2.15        
14      14157391    14.29   2.00        1036889     1.61    0.23        2836642     2.80    0.39        14707058    18.51   2.59        17506667    16.45   2.30        
16      14990019    13.24   2.12        1060064     1.44    0.23        2785417     2.40    0.38        15769116    17.37   2.78        18907112    15.55   2.49        
18      15936267    12.52   2.25        1072929     1.29    0.23        2741380     2.10    0.38        16700666    16.35   2.94        19925643    14.57   2.62        
20      16719524    11.82   2.36        1109962     1.21    0.24        2723381     1.88    0.38        17633544    15.54   3.11        20882517    13.74   2.75        
22      17449438    11.21   2.47        1121093     1.11    0.24        2690009     1.69    0.37        18480294    14.80   3.26        22067305    13.20   2.90        
24      18170756    10.70   2.57        1125364     1.02    0.24        2666724     1.53    0.37        19264434    14.15   3.40        22812625    12.51   3.00        
26      18814694    10.23   2.66        1109514     0.93    0.24        2630968     1.40    0.36        19941946    13.52   3.51        23704711    12.00   3.12        
28      19519859    9.85    2.76        1064305     0.83    0.23        2616012     1.29    0.36        20736997    13.05   3.65        24540715    11.53   3.23        
30      20107421    9.47    2.84        1029584     0.75    0.22        2593236     1.19    0.36        21398065    12.57   3.77        25333393    11.11   3.33        
32      20730224    9.16    2.93        1044395     0.71    0.23        2571846     1.11    0.35        22223561    12.24   3.92        26067065    10.72   3.43        
34      21369420    8.88    3.02        1051347     0.67    0.23        2548594     1.03    0.35        22838864    11.84   4.02        26826006    10.38   3.53        
36      21968472    8.63    3.11        1014814     0.61    0.22        2527245     0.97    0.35        23510280    11.51   4.14        27578673    10.08   3.63        
38      22477972    8.36    3.18        1007762     0.58    0.22        2512194     0.91    0.35        24112737    11.18   4.25        28180276    9.76    3.71        
40      23065504    8.15    3.26        1009900     0.55    0.22        2491602     0.86    0.34        24802386    10.93   4.37        28906832    9.51    3.80        
44      15308516    4.92    2.16        5266        0.00    0.00        2573686     0.81    0.36        21018675    8.42    3.70        24153094    7.22    3.18        
48      9948893     2.93    1.41        5315        0.00    0.00        2578066     0.74    0.36        19778532    7.26    3.49        23296940    6.39    3.07        
52      6493840     1.77    0.92        3524        0.00    0.00        2572347     0.68    0.35        18763910    6.36    3.31        22575745    5.71    2.97        
56      4091040     1.03    0.58        5720        0.00    0.00        2580873     0.64    0.36        17775791    5.59    3.13        21783459    5.12    2.87        
60      2983292     0.70    0.42        3730        0.00    0.00        2569671     0.59    0.35        17093908    5.02    3.01        20887478    4.58    2.75        
