### params -i2048 -r4096 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       lpdxeon2680lb-ll_coupling_gl_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_lazy_sp_0 lpdxeon2680lb-ll_lazy_orig_0 lpdxeon2680lb-ll_lazy_no_ro_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       175272       139703       173716       174283       174011       174347       
2       127237       255623       221385       151932       141320       143238       
4       119028       459394       432467       457964       434925       451078       
6       110988       556605       615633       719118       695951       742620       
8       98820        547747       658288       892608       866148       907129       
10      91110        488375       661203       1041533      1036458      1027340      
12      83470        443359       675200       1189164      1161903      1165270      
14      79987        414091       672490       1347667      1317309      1324043      
16      77601        390186       661820       1492159      1461610      1501987      
18      75062        371897       658087       1603464      1603064      1607738      
20      73971        356954       656905       1731699      1737717      1755085      
22      72140        350112       664250       1830858      1842300      1837298      
24      71195        341069       648550       1880745      1926908      1872190      
26      69595        334371       640877       1993389      1980803      1959120      
28      69100        325005       632435       1973786      2008432      2011048      
30      68243        320099       620909       2026394      2051005      2036756      
32      67095        311515       579418       2090635      1990638      2058311      
34      65975        304170       530044       1947312      1984926      1997665      
36      64321        296475       497169       2012801      2018598      2002827      
38      62086        288440       445739       2097227      1998849      2002891      
40      61158        281643       412015       2070720      2038589      1969262      
44      1946         10144        405386       2018360      1971301      1952190      
48      1734         7749         391100       1968272      1868730      1906008      
52      1643         5978         384236       1903967      1832244      1857501      
56      1470         6397         369593       1827704      1795778      1810524      
60      1276         6600         371233       1802715      1770653      1841952      
